rank,title,total ratings,installs,average rating,growth (30 days),growth (60 days),price,category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid
1,Garena Free Fire - The Cobra,80678661,500.0 M,4.33,2.9,7.9,0,GAME ACTION,61935712,4478738,2795172,1814999,9654037,FALSE
2,PUBG MOBILE: Graffiti Prank,35971961,100.0 M,4.24,2,3.1,0,GAME ACTION,26670566,2109631,1352610,893674,4945478,FALSE
3,Mobile Legends: Bang Bang,25836869,100.0 M,4.08,1.6,3.3,0,GAME ACTION,17850942,1796761,1066095,725429,4397640,FALSE
4,Brawl Stars,17181659,100.0 M,4.27,4.1,6.6,0,GAME ACTION,12493668,1474319,741410,383478,2088781,FALSE
5,Sniper 3D: Fun Free Online FPS Shooting Game,14237554,100.0 M,4.33,0.8,1.8,0,GAME ACTION,9657878,2124544,1034025,375159,1045945,FALSE
6,Shadow Fight 2,14048931,100.0 M,4.57,0.6,1.5,0,GAME ACTION,11532143,961926,448184,217044,889631,FALSE
7,Call of Duty®: Mobile - Day of Reckoning,13020115,100.0 M,4.47,2.8,5.1,0,GAME ACTION,10079925,1210326,488294,261610,979958,FALSE
8,Among Us,11298789,100.0 M,3.65,6.3,12.3,0,GAME ACTION,6173970,1026476,770574,614021,2713745,FALSE
9,Temple Run 2,9554877,500.0 M,4.21,0.3,0.6,0,GAME ACTION,6521348,996144,615544,343978,1077860,FALSE
10,PUBG MOBILE LITE,7392911,100.0 M,4.16,1.3,2.9,0,GAME ACTION,5231571,494013,343880,232468,1090976,FALSE
11,slither.io,6475640,100.0 M,4.07,0.4,1,0,GAME ACTION,4089508,765605,486813,250455,883255,FALSE
12,Gangstar Vegas: World of Crime,6203689,100.0 M,4.3,0.5,1.1,0,GAME ACTION,4466149,597997,313912,165629,660000,FALSE
13,Pixel Gun 3D: FPS Shooter & Battle Royale,5651287,100.0 M,4.15,0.3,0.6,0,GAME ACTION,3855710,524170,321185,183340,766880,FALSE
14,Bowmasters,5245027,100.0 M,4.55,2.3,4.5,0,GAME ACTION,4170692,464285,216008,93697,300341,FALSE
15,Standoff 2,4457338,50.0 M,4.54,6.1,13.7,0,GAME ACTION,3611434,335328,123915,59903,326756,FALSE
16,Crossy Road,4456347,100.0 M,4.54,0.1,0.2,0,GAME ACTION,3378135,575185,232942,67203,202879,FALSE
17,Banana Kong,4448938,100.0 M,4.57,0.5,1.2,0,GAME ACTION,3440564,524996,227009,72803,183564,FALSE
18,Garena Liên Quân Mobile,4443546,50.0 M,4.11,2.1,3.9,0,GAME ACTION,3055909,371966,198693,100809,716166,FALSE
19,Helix Jump,4260419,100.0 M,4.07,0,0.2,0,GAME ACTION,2654404,542456,338551,178344,546662,FALSE
20,War Robots. 6v6 Tactical Multiplayer Battles,4193941,50.0 M,4,0.3,0.7,0,GAME ACTION,2635805,449195,262329,160045,686564,FALSE
21,MORTAL KOMBAT: The Ultimate Fighting Game!,4162892,50.0 M,4.21,0.6,1.1,0,GAME ACTION,2838747,455601,251087,133593,483861,FALSE
22,Agar.io,4097530,100.0 M,3.93,0.2,0.5,0,GAME ACTION,2501119,430052,288167,152746,725443,FALSE
23,Last Day on Earth: Survival,4092418,50.0 M,4.38,0.7,1.6,0,GAME ACTION,2957405,485137,213306,107353,329214,FALSE
24,DEER HUNTER CLASSIC,3986647,100.0 M,4.39,0,0,0,GAME ACTION,2777555,615632,242394,81060,270003,FALSE
25,Modern Combat 5: eSports FPS,3480214,100.0 M,4.22,0.5,1.3,0,GAME ACTION,2358135,414862,216256,104141,386816,FALSE
26,Kick the Buddy,3138199,100.0 M,4.1,1.4,2.8,0,GAME ACTION,2113861,259544,187573,117506,459713,FALSE
27,DEAD TRIGGER 2 - Zombie Game FPS shooter,3122764,50.0 M,4.49,0.3,0.7,0,GAME ACTION,2332450,404082,152315,61649,172265,FALSE
28,Marvel Contest of Champions,3095661,100.0 M,4.2,0.2,0.5,0,GAME ACTION,2083084,380012,178324,91001,363237,FALSE
29,Mini Militia - Doodle Army 2,3065898,100.0 M,4.14,1,2.2,0,GAME ACTION,2082550,278924,171490,101696,431235,FALSE
30,Garena RoV: Songkran,3009445,10.0 M,4.37,1.6,2.5,0,GAME ACTION,2244023,267656,142141,65518,290104,FALSE
31,CATS: Crash Arena Turbo Stars,2644544,50.0 M,4.36,0.4,1,0,GAME ACTION,1934943,269099,131665,67872,240963,FALSE
32,Call of Duty®: Mobile - Garena,2548363,10.0 M,4.23,3.6,5,0,GAME ACTION,1820998,207369,126706,77918,315369,FALSE
33,Injustice: Gods Among Us,2535575,10.0 M,4.38,0.1,0.2,0,GAME ACTION,1880942,249023,114674,59777,231156,FALSE
34,Swamp Attack,2454177,100.0 M,4.47,0.5,0.9,0,GAME ACTION,1836934,280756,134864,54700,146921,FALSE
35,GUNSHIP BATTLE: Helicopter 3D,2373080,50.0 M,4.16,0.1,0.3,0,GAME ACTION,1580784,267426,148706,72154,304008,FALSE
36,Real Steel World Robot Boxing,2360988,50.0 M,4.5,0.1,0.2,0,GAME ACTION,1848725,211200,101098,42008,157954,FALSE
37,World War Heroes: WW2 FPS,2346568,50.0 M,4.49,2.1,5.3,0,GAME ACTION,1845954,194520,89226,48016,168849,FALSE
38,Critical Ops: Online Multiplayer FPS Shooting Game,2251406,50.0 M,4.23,0.6,1.4,0,GAME ACTION,1549864,252098,129978,63699,255764,FALSE
39,A LINE Rangers/Crayon Shinchan tower defense RPG!,2128244,10.0 M,4.35,0.1,0.4,0,GAME ACTION,1513093,250067,139165,47434,178483,FALSE
40,Six-Guns: Gang Showdown,2080344,10.0 M,4.11,0.1,0.2,0,GAME ACTION,1401485,187513,116968,64362,310015,FALSE
41,Cover Fire: Offline Shooting Games,2020959,50.0 M,4.53,1.8,3.6,0,GAME ACTION,1576195,207109,84764,37650,115239,FALSE
42,DEAD TARGET: Zombie Offline - Shooting Games,1974616,100.0 M,4.42,0.6,1.5,0,GAME ACTION,1466866,206775,110728,50067,140177,FALSE
43,FRONTLINE COMMANDO: D-DAY,1973715,10.0 M,3.9,0.3,0.6,0,GAME ACTION,1282907,125753,81759,55822,427472,FALSE
44,Worms Zone .io - Voracious Snake,1965892,100.0 M,4.3,3.1,6.6,0,GAME ACTION,1422180,173486,105861,61329,203032,FALSE
45,Mario Kart Tour,1919424,50.0 M,4.12,1,1.9,0,GAME ACTION,1234779,252441,115916,62945,253340,FALSE
46,Gods of Boom - Online PvP Action,1858700,50.0 M,4.01,0.1,0.2,0,GAME ACTION,1161298,217742,115623,65648,298387,FALSE
47,RULES OF SURVIVAL,1818951,50.0 M,3.92,0.1,0.3,0,GAME ACTION,1180853,114139,91343,66662,365952,FALSE
48,Hunter Assassin,1738922,100.0 M,4.2,3.6,9.3,0,GAME ACTION,1174773,178273,126894,71790,187190,FALSE
49,Zombie Catchers - love the hunt!,1737515,100.0 M,4.44,2,3.6,0,GAME ACTION,1302473,180457,92856,40988,120740,FALSE
50,Into the Dead,1708074,50.0 M,4.53,0.2,0.4,0,GAME ACTION,1304290,207310,77538,26901,92032,FALSE
51,Respawnables – Online PVP Battles,1653621,10.0 M,4.21,0.1,0.2,0,GAME ACTION,1168969,143216,81504,45844,214085,FALSE
52,Modern Strike Online: Free PvP FPS shooting game,1601034,50.0 M,4.38,1.1,2.4,0,GAME ACTION,1198546,140286,74131,40275,147794,FALSE
53,Block Strike,1599574,10.0 M,4.11,4560.2,1.6,0,GAME ACTION,1038466,185237,105134,52050,218685,FALSE
54,Blitz Brigade - Online FPS fun,1598893,10.0 M,3.93,0,0,0,GAME ACTION,999022,145747,98957,53783,301381,FALSE
55,Super Mario Run,1571129,100.0 M,3.73,0.7,1.3,0,GAME ACTION,865924,160729,131233,84164,329077,FALSE
56,Archero,1514729,50.0 M,4.38,1.2,3.1,0,GAME ACTION,1071149,206983,87195,34301,115098,FALSE
57,N.O.V.A. Legacy,1499748,50.0 M,4.06,0.6,1.2,0,GAME ACTION,936132,189007,109850,56847,207909,FALSE
58,Tomb of the Mask,1495928,100.0 M,4.38,1164.8,4.6,0,GAME ACTION,1080306,180336,78629,40266,116388,FALSE
59,DINO HUNTER: DEADLY SHORES,1492125,50.0 M,4.43,0.1,0.3,0,GAME ACTION,1095921,179535,80175,29311,107180,FALSE
60,DEAD TRIGGER - Offline Zombie Shooter,1476615,10.0 M,4.5,0.2,0.4,0,GAME ACTION,1101314,188833,80890,27732,77843,FALSE
61,Johnny Trigger - Action Shooting Game,1418200,100.0 M,4.45,1.8,3.6,0,GAME ACTION,1072395,139566,73663,34742,97832,FALSE
62,PPSSPP - PSP emulator,1370578,100.0 M,4.36,1,1.9,0,GAME ACTION,1010261,134117,67153,33167,125878,FALSE
63,Robbery Bob,1295371,100.0 M,4.38,2,4.2,0,GAME ACTION,990050,88465,56207,35825,124820,FALSE
64,Hide Online - Hunters vs Props,1268708,50.0 M,4.48,1.1,2.9,0,GAME ACTION,975386,121614,58603,26064,87039,FALSE
65,Soul Knight,1253803,50.0 M,4.52,1.5,4,0,GAME ACTION,966279,139698,55097,22321,70406,FALSE
66,Creative Destruction,1238814,10.0 M,4.22,0.8,1.7,0,GAME ACTION,878737,104960,59904,34640,160571,FALSE
67,aquapark.io,1224373,100.0 M,4.08,1.2,3.1,0,GAME ACTION,796909,123482,78967,49174,175839,FALSE
68,Bomber Friends,1205751,50.0 M,4.3,0.7,1.8,0,GAME ACTION,850596,130904,72537,35699,116012,FALSE
69,Anger of stick 5 : zombie,1201003,100.0 M,4.34,1.8,3.8,0,GAME ACTION,888793,100798,60028,34751,116630,FALSE
70,Modern Sniper,1189784,50.0 M,4.11,0.3,0.5,0,GAME ACTION,774203,124707,92187,46678,152006,FALSE
71,DRAGON BALL LEGENDS,1171463,10.0 M,4.14,1.9,4.9,0,GAME ACTION,796378,119092,52261,26135,177593,FALSE
72,Nebulous.io,1159018,50.0 M,4.29,0.4,0.7,0,GAME ACTION,818030,124799,69912,32042,114232,FALSE
73,War Machines: Tank Battle - Army & Military Games,1134823,100.0 M,4.04,1.5,3.5,0,GAME ACTION,675581,172859,94142,45682,146557,FALSE
74,Garena AOV: Link Start,1104922,10.0 M,4.02,139410.4,0.9,0,GAME ACTION,743189,73302,52848,34090,201490,FALSE
75,Sea Battle 2,1098902,10.0 M,4.66,2.1,4.5,0,GAME ACTION,877180,141143,41513,11915,27149,FALSE
76,DRAGON BALL Z DOKKAN BATTLE,1057009,10.0 M,4.43,0.7,1.3,0,GAME ACTION,795246,114985,39102,17818,89856,FALSE
77,FRAG Pro Shooter,1038486,50.0 M,4.37,4.2,9.1,0,GAME ACTION,779321,84895,47933,28968,97366,FALSE
78,Angry Gran Run - Running Game,1035927,50.0 M,4.41,0.1,0.2,0,GAME ACTION,771626,98475,60893,24031,80898,FALSE
79,PUBG MOBILE,1025527,10.0 M,4.35,4.1,7,0,GAME ACTION,788638,59844,38520,23773,114749,FALSE
80,Deer Hunter 2018,1022335,50.0 M,4.01,0,0.1,0,GAME ACTION,639683,120437,62570,33042,166601,FALSE
81,Rope Hero: Vice Town,1011865,100.0 M,4.2,2.5,5.6,0,GAME ACTION,720898,73748,50810,34656,131751,FALSE
82,Sniper Fury: Online 3D FPS & Sniper Shooter Game,1008274,50.0 M,4.05,0.1,0.2,0,GAME ACTION,637973,121993,61346,31183,155776,FALSE
83,FRONTLINE COMMANDO 2,997973,10.0 M,4.46,0,0.1,0,GAME ACTION,715952,147189,62085,19024,53721,FALSE
84,Battlelands Royale,987047,10.0 M,4.03,0.4,1.1,0,GAME ACTION,609541,123211,73097,39214,141981,FALSE
85,Arena of Valor: 5v5 Arena Game,954496,10.0 M,3.59,0.5,1,0,GAME ACTION,503466,101889,58476,32023,258640,FALSE
86,Real Gangster Crime,940558,100.0 M,4.14,2.9,6.4,0,GAME ACTION,653656,70047,48180,35763,132909,FALSE
87,Legacy of Discord-FuriousWings,933455,10.0 M,4.16,0.1,0.2,0,GAME ACTION,624684,101141,56461,30943,120224,FALSE
88,BombSquad,894527,10.0 M,4.37,0.7,1.4,0,GAME ACTION,651347,95352,49355,22598,75872,FALSE
89,Talking Tom Hero Dash - Run Game,893456,100.0 M,4.29,5.2,11.4,0,GAME ACTION,658104,65913,40928,28302,100207,FALSE
90,PUBG MOBILE VN – GRAFFITI PRANK,878929,10.0 M,4.16,1.2,2.4,0,GAME ACTION,618177,72167,36063,20444,132076,FALSE
91,Crisis Action: 5th Anniversary,873891,10.0 M,3.93,0.1,0.1,0,GAME ACTION,551341,68587,58098,33898,161964,FALSE
92,Hitman Sniper,848831,10.0 M,4.41,0.3,0.8,0.99,GAME ACTION,607502,115334,48040,19224,58729,TRUE
93,Miraculous Ladybug & Cat Noir,820081,100.0 M,4.32,2.6,5.4,0,GAME ACTION,610132,62809,35805,23217,88115,FALSE
94,Beat the Boss 3,809795,10.0 M,4.51,0,0,0,GAME ACTION,626256,79461,43472,13250,47353,FALSE
95,Flippy Knife,801878,10.0 M,4.19,0.3,0.7,0,GAME ACTION,509210,119257,67002,29864,76543,FALSE
96,BLOOD & GLORY,799803,10.0 M,3.83,0,0,0,GAME ACTION,487636,76830,33821,18264,183249,FALSE
97,Bus Rush,798738,100.0 M,4.29,0.1,0.1,0,GAME ACTION,565576,79649,51686,22644,79179,FALSE
98,Injustice 2,798721,10.0 M,4.2,0.8,1.5,0,GAME ACTION,530371,103622,49763,25205,89758,FALSE
99,Zooba: Free-for-all Zoo Combat Battle Royale Games,778052,10.0 M,4.01,4.7,10.2,0,GAME ACTION,490242,81135,53964,31174,121535,FALSE
100,NARUTO X BORUTO NINJA VOLTAGE,776957,10.0 M,4.11,2.5,5.2,0,GAME ACTION,521328,70548,45060,25717,114300,FALSE
1,Roblox,20649769,100.0 M,4.47,4.2,8.4,0,GAME ADVENTURE,16057759,1836135,753095,369209,1633569,FALSE
2,Pokémon GO,14401261,100.0 M,4.1,0.7,1.2,0,GAME ADVENTURE,9302104,1728142,885234,460683,2025096,FALSE
3,Criminal Case,4262608,100.0 M,4.5,0.1,0.3,0,GAME ADVENTURE,3262514,444508,216484,91657,247443,FALSE
4,쿠키런 for Kakao,2554945,10.0 M,4.27,0,0,0,GAME ADVENTURE,1728847,325007,199467,74666,226955,FALSE
5,Harry Potter: Hogwarts Mystery,2183778,50.0 M,4.51,2.1,5.5,0,GAME ADVENTURE,1621294,298511,115105,44583,104283,FALSE
6,Kiloblocks Lite,2078790,100.0 M,3.86,0,0,0,GAME ADVENTURE,1165956,247588,221278,104808,339157,FALSE
7,PK XD - Explore and Play with your Friends!,2046025,50.0 M,4.29,12.5,23.9,0,GAME ADVENTURE,1506076,161775,81970,52906,243296,FALSE
8,Mini World: Block Art,1914819,50.0 M,4.29,2.3,6.6,0,GAME ADVENTURE,1416003,148554,76942,43991,229326,FALSE
9,BADLAND,1582368,10.0 M,4.51,0.1,0.2,0,GAME ADVENTURE,1212289,175725,73532,29091,91730,FALSE
10,Ice Age Adventures,1432424,50.0 M,4.21,0.1,0.2,0,GAME ADVENTURE,947480,176433,110609,52804,145096,FALSE
11,Genshin Impact,1342587,10.0 M,4.51,9.5,21.6,0,GAME ADVENTURE,1055821,123264,50086,24569,88845,FALSE
12,Clumsy Ninja,1279506,10.0 M,4.31,0.1,0.3,0,GAME ADVENTURE,933667,117128,62485,30153,136071,FALSE
13,The Walking Dead: Season One,1276224,10.0 M,4.46,0.1,0.3,0,GAME ADVENTURE,990679,103781,57414,27458,96889,FALSE
14,Benji Bananas,1161941,50.0 M,4.41,0.1,0.3,0,GAME ADVENTURE,850589,129736,74870,25709,81035,FALSE
15,KIM KARDASHIAN: HOLLYWOOD,1094556,10.0 M,4.3,0.1,0.2,0,GAME ADVENTURE,755487,138999,70609,31379,98079,FALSE
16,Hidden City: Hidden Object Adventure,1062176,10.0 M,4.36,0.3,0.6,0,GAME ADVENTURE,662101,230824,100375,26908,41965,FALSE
17,Family Guy The Quest for Stuff,1007655,10.0 M,3.92,0,0,0,GAME ADVENTURE,588610,125854,79653,49039,164496,FALSE
18,Growtopia,1006633,10.0 M,3.55,0.8,1.2,0,GAME ADVENTURE,535514,74798,73000,51802,271516,FALSE
19,The Secret Society - Hidden Objects Mystery,891343,5.0 M,4.36,0.1,0.2,0,GAME ADVENTURE,530828,215417,102430,19425,23240,FALSE
20,Murder in the Alps,803896,10.0 M,4.21,1.4,3.5,0,GAME ADVENTURE,480374,154636,79120,35336,54427,FALSE
21,June's Journey - Hidden Objects,798250,10.0 M,4.42,358.4,4.7,0,GAME ADVENTURE,550170,144254,38618,17042,48164,FALSE
22,Tiny Miner,753183,5.0 M,4.6,0,0,0,GAME ADVENTURE,584387,93065,41439,10187,24103,FALSE
23,Rayman Adventures,730263,10.0 M,4.45,0.4,0.9,0,GAME ADVENTURE,550358,77217,36272,16713,49701,FALSE
24,Swordigo,720821,10.0 M,4.6,0.5,1.1,0,GAME ADVENTURE,592379,55914,24658,10735,37133,FALSE
25,The Walking Dead: Season Two,675179,10.0 M,4.46,0.1,0.3,0,GAME ADVENTURE,525957,54369,28324,14037,52489,FALSE
26,Eyes: Scary Thriller - Creepy Horror Game,654364,10.0 M,4.4,1,1.9,0,GAME ADVENTURE,487793,64046,32508,16549,53467,FALSE
27,WorldCraft: 3D Build & Block Craft,634709,10.0 M,3.58,0.2,0.4,0,GAME ADVENTURE,334924,57204,45952,32698,163929,FALSE
28,ARK: Survival Evolved,617412,10.0 M,4,3,6.9,0,GAME ADVENTURE,386395,66048,42074,23449,99444,FALSE
29,Sonic Forces – Multiplayer Racing & Battle Game,597627,50.0 M,4.42,2.5,5.3,0,GAME ADVENTURE,451959,56568,25606,14326,49165,FALSE
30,Beggar Life - Clicker adventure,545364,5.0 M,4.22,0.1,0.2,0,GAME ADVENTURE,370907,60083,36938,18369,59064,FALSE
31,RealmCraft with Skins Export to Minecraft,530531,50.0 M,4.11,2.3,5.1,0,GAME ADVENTURE,360272,45518,26510,18330,79898,FALSE
32,Animation Throwdown: The Collectible Card Game,528493,10.0 M,4.44,0.3,0.7,0,GAME ADVENTURE,369221,92285,27535,11146,28304,FALSE
33,"Knives Out-No rules, just fight!",526011,10.0 M,3.39,0.5,1,0,GAME ADVENTURE,260354,40125,34962,24636,165933,FALSE
34,Jurassic World Alive,521392,10.0 M,4.35,1.1,2.4,0,GAME ADVENTURE,368121,67896,28777,14238,42356,FALSE
35,House Designer : Fix & Flip,520995,50.0 M,4.12,3.2,8.4,0,GAME ADVENTURE,337935,61651,34116,20254,67036,FALSE
36,Seekers Notes: Hidden Mystery,519820,10.0 M,4.27,0.7,1.4,0,GAME ADVENTURE,323970,98744,43406,18725,34973,FALSE
37,Crab War : Idle Swarm Evolution,491712,5.0 M,4.54,0.4,1,0,GAME ADVENTURE,364394,72835,28682,8182,17617,FALSE
38,Cyber Hunter,487043,10.0 M,4.02,0.6,1.3,0,GAME ADVENTURE,309857,48747,32454,19174,76808,FALSE
39,Mystery Manor: hidden objects,479435,10.0 M,4.58,2.7,5.9,0,GAME ADVENTURE,343892,101188,16455,5893,12005,FALSE
40,Diggy's Adventure: Mine Maze Levels & Pipe Puzzles,478211,10.0 M,4.38,1.8,3.7,0,GAME ADVENTURE,329088,77605,26994,11507,33013,FALSE
41,Ninja Arashi,463875,10.0 M,4.5,1.6,3.3,0,GAME ADVENTURE,358740,46434,20075,9268,29354,FALSE
42,LONEWOLF (17+) - a Sniper Story,436080,10.0 M,4.52,0.7,1.8,0,GAME ADVENTURE,331200,55837,18479,7625,22936,FALSE
43,Monster Warlord,434987,10.0 M,4.16,0,0,0,GAME ADVENTURE,282326,58228,28844,13307,52280,FALSE
44,Ingress Prime,426482,10.0 M,3.36,0.3,0.7,0,GAME ADVENTURE,188123,53049,33512,26380,125415,FALSE
45,Super Bob's World : Free Run Game,416848,100.0 M,4.27,3.2,6.8,0,GAME ADVENTURE,295844,39500,23056,13057,45388,FALSE
46,Hidden Hotel: Miami Mystery,389233,10.0 M,4.25,0.7,1.5,0,GAME ADVENTURE,255521,57215,27828,14099,34568,FALSE
47,Survivors: The Quest,367520,1.0 M,4.23,0.8,1.4,0,GAME ADVENTURE,203815,85332,52161,12160,14049,FALSE
48,Hard Time (Prison Sim),342591,10.0 M,3.97,0.7,1.6,0,GAME ADVENTURE,210465,36063,26030,15179,54852,FALSE
49,Draw a Stickman: EPIC 2,337032,10.0 M,3.96,1.1,2.4,0,GAME ADVENTURE,205418,36118,25297,16075,54122,FALSE
50,Adventure Escape: Asylum,328964,1.0 M,4.53,0.3,0.7,0,GAME ADVENTURE,229461,63849,23818,4647,7186,FALSE
51,Transformers: RobotsInDisguise,324834,10.0 M,4.27,0.2,0.5,0,GAME ADVENTURE,237449,24504,15570,9174,38135,FALSE
52,Westland Survival - Be a survivor in the Wild West,323953,10.0 M,4.42,4,9.4,0,GAME ADVENTURE,229877,47360,19377,7512,19824,FALSE
53,Ghost Town Adventures: Mystery Riddles Game,320368,10.0 M,4.17,0.2,0.3,0,GAME ADVENTURE,205171,43727,24752,13226,33490,FALSE
54,Terraria,317546,1.0 M,4.65,1,2.3,4.99,GAME ADVENTURE,264563,24837,10184,4387,13572,TRUE
55,Piggy Boom-Be the coin master,316853,10.0 M,4.53,0.2,0.3,0,GAME ADVENTURE,255161,21673,12879,5855,21283,FALSE
56,KENDALL & KYLIE,316647,5.0 M,4.43,0,0.1,0,GAME ADVENTURE,237365,31303,17404,8412,22160,FALSE
57,Shipwrecked:Castaway Island,316364,10.0 M,4.63,0,0,0,GAME ADVENTURE,260935,25389,11899,4699,13439,FALSE
58,Harry Potter: Wizards Unite,313922,10.0 M,3.63,0.4,0.7,0,GAME ADVENTURE,150171,48370,29450,20523,65406,FALSE
59,Masha and the Bear Child Games,308061,50.0 M,4.2,0.4,0.7,0,GAME ADVENTURE,217484,24614,16712,9290,39958,FALSE
60,Pearl's Peril - Hidden Object Game,303491,10.0 M,4.45,0.6,1.2,0,GAME ADVENTURE,205958,60257,18268,6767,12238,FALSE
61,Manor Matters,302428,10.0 M,4.51,20.8,69,0,GAME ADVENTURE,219395,47068,18287,5861,11814,FALSE
62,Mirrors of Albion,302308,10.0 M,4.29,0,0.1,0,GAME ADVENTURE,209903,34354,20106,11108,26835,FALSE
63,Hollywood Story: Fashion Star,286528,10.0 M,4.33,5.9,13.8,0,GAME ADVENTURE,199804,36026,19176,8902,22618,FALSE
64,Diamond Quest: Don't Rush!,273036,10.0 M,4.46,0.7,1.6,0,GAME ADVENTURE,199015,36646,16646,6507,14218,FALSE
65,Hello Neighbor,272140,10.0 M,4.02,4.8,10.8,0,GAME ADVENTURE,179442,22213,13724,10519,46239,FALSE
66,Super Bino Go - New Adventure Game,272066,50.0 M,4.1,2558.2,12.7,0,GAME ADVENTURE,181050,24590,17104,10342,38978,FALSE
67,Ninja warrior: legend of adventure games,271446,10.0 M,4.36,4.7,9.7,0,GAME ADVENTURE,205096,19718,12804,7352,26474,FALSE
68,Devil Ninja 2,269698,10.0 M,4.43,0,0.1,0,GAME ADVENTURE,199868,27382,19150,5624,17672,FALSE
69,Stormfall: Saga of Survival,256133,10.0 M,4.2,0.7,1.6,0,GAME ADVENTURE,159901,44646,18605,8182,24797,FALSE
70,회색도시 for Kakao,255190,1.0 M,4.42,0,0,0,GAME ADVENTURE,160537,59045,24428,4079,7099,FALSE
71,Crafting and Building,252579,10.0 M,4.3,16,39.7,0,GAME ADVENTURE,183569,23789,10768,6393,28057,FALSE
72,LEGO® Star Wars™: TFA,244086,10.0 M,3.91,1,2.5,0,GAME ADVENTURE,152013,20903,14875,10206,46086,FALSE
73,Tinker Island - Survival Story Adventure,243187,5.0 M,4.21,0.7,1.2,0,GAME ADVENTURE,157652,34365,18567,10269,22332,FALSE
74,﻿Dragon Land,239690,10.0 M,4.34,0.5,1.2,0,GAME ADVENTURE,172113,25782,14154,7012,20627,FALSE
75,The Island Castaway: Lost World®,235665,1.0 M,4.3,0.3,0.8,0,GAME ADVENTURE,139937,50806,29770,6835,8314,FALSE
76,Criminal Case: Pacific Bay,235645,10.0 M,4.5,0.3,0.7,0,GAME ADVENTURE,177063,28537,13355,4930,11758,FALSE
77,The Wolf Among Us,235280,5.0 M,4.46,0.2,0.4,0,GAME ADVENTURE,180021,22471,10386,5427,16973,FALSE
78,Dead Ninja Mortal Shadow,234999,5.0 M,4.51,0,0.1,0,GAME ADVENTURE,179842,25379,13194,3868,12714,FALSE
79,Egg Wars,231968,10.0 M,4.17,2.7,6.5,0,GAME ADVENTURE,162130,18965,11582,7008,32282,FALSE
80,BlockStarPlanet,229193,10.0 M,3.97,0.6,1.7,0,GAME ADVENTURE,138146,29200,15234,9094,37516,FALSE
81,Draw a Stickman: EPIC Free,227666,10.0 M,3.95,0.1,0.3,0,GAME ADVENTURE,138400,23863,18402,10703,36295,FALSE
82,Benji Bananas Adventures,220028,10.0 M,4.41,0,0.1,0,GAME ADVENTURE,157365,29152,14581,4277,14651,FALSE
83,"Hotel Transylvania Adventures - Run, Jump, Build!",215484,10.0 M,4.33,1.6,3.3,0,GAME ADVENTURE,158241,19243,10203,5946,21848,FALSE
84,Street Chaser,214252,50.0 M,4.12,2.9,6,0,GAME ADVENTURE,145750,16991,12760,8788,29960,FALSE
85,Survival Island: EVO 2,211749,10.0 M,3.82,0.1,0.2,0,GAME ADVENTURE,119993,23498,18989,9269,39997,FALSE
86,Seven - Deadly Revelation - Horror Chat Adventure,209977,1.0 M,4.47,0.8,1.8,0,GAME ADVENTURE,147758,34367,15514,4221,8115,FALSE
87,FPS Commando Secret Mission - Free Shooting Games,208707,100.0 M,4.08,9.4,24.3,0,GAME ADVENTURE,140853,15894,11192,9186,31580,FALSE
88,Zoo 2: Animal Park,198684,10.0 M,4.3,3.3,6.3,0,GAME ADVENTURE,133728,29804,12492,6151,16507,FALSE
89,3D Maze / Labyrinth,195093,10.0 M,3.55,0.2,0.6,0,GAME ADVENTURE,98565,18794,18944,9746,49042,FALSE
90,CASE: Animatronics - Horror game,194323,5.0 M,4.5,1.3,2.8,0,GAME ADVENTURE,150446,19496,8073,3976,12329,FALSE
91,Super City (Superhero Sim),186843,10.0 M,4.3,2.3,4.3,0,GAME ADVENTURE,133402,18770,10413,5673,18581,FALSE
92,Spider Rope Hero - Gangster New York City,184346,10.0 M,4.32,5.4,18.3,0,GAME ADVENTURE,142535,8350,6434,4587,22437,FALSE
93,Adventure Time: Heroes of Ooo,183775,10.0 M,4.2,0.1,0.3,0,GAME ADVENTURE,126910,17057,11464,6311,22030,FALSE
94,Friendzoned,181950,1.0 M,4.7,2.3,4.8,0,GAME ADVENTURE,147853,22052,7044,1945,3053,FALSE
95,Nobodies: Murder Cleaner,180214,5.0 M,4.5,1.2,5,0,GAME ADVENTURE,132974,25480,9471,3989,8297,FALSE
96,Stranger Things: The Game,177399,5.0 M,4.59,0.5,1,0,GAME ADVENTURE,140060,19349,7801,3140,7046,FALSE
97,Homicide Squad: New York Cases,174459,1.0 M,4.46,2.2,4.6,0,GAME ADVENTURE,115451,35716,15616,3101,4572,FALSE
98,Futurama: Worlds of Tomorrow,173518,5.0 M,4.1,0.2,0.5,0,GAME ADVENTURE,103163,29913,14632,6981,18826,FALSE
99,Jurassic Survival Island: Dinosaurs & Craft,170530,10.0 M,4.04,0.7,1.6,0,GAME ADVENTURE,110047,17316,9570,6629,26966,FALSE
100,Critical Action :Gun Strike Ops - Shooting Game,169716,50.0 M,4.01,3.3,7.4,0,GAME ADVENTURE,111103,13416,9395,6867,28932,FALSE
1,Subway Surfers,35305263,1000.0 M,4.44,0.5,1.1,0,GAME ARCADE,26840330,3377645,1618461,801027,2667798,FALSE
2,Hungry Shark Evolution - Offline survival game,7141044,100.0 M,4.37,0.5,0.9,0,GAME ARCADE,5171922,791394,403206,189389,585131,FALSE
